lambda,best_theta_overall,best_theta_blocking,best_theta_waiting,best_theta_cpu,best_theta_ram,best_blocking_prob,best_waiting_time,best_cpu_usage,best_ram_usage,best_blocking_error,best_waiting_error,best_cpu_error,best_ram_error,best_overall_error
1.0,0.8459999999999999,0.01,0.01,0.868,0.9339999999999999,0.0,0.02114473181236378,24.351760494311105,28.916841213763938,0.0,0.0026322352075964,0.4700975570038,0.040865156260181126,0.11217842929904126
2.0,0.9120000000000001,0.01,0.01,1.0,0.9780000000000001,0.0,0.013018097909698248,25.234409442415416,27.10563504051185,0.0,0.002942115657443549,0.1270699110350721,0.1264917424417997,0.1282809416865966
3.0,0.89,0.01,0.01,0.9780000000000001,0.9780000000000001,0.0,0.011009718148784032,25.91347865564162,26.433229104243924,0.0,0.0032323791007620862,0.13952550157515256,0.08231264080486332,0.06957010852370434
4.0,0.8459999999999999,0.01,0.01,1.0,1.0,0.0,0.008814556916679922,26.076305435079423,26.046098825313198,0.0,0.001518037467375041,0.10122465915231119,0.05800581067479255,0.11217842929904125
5.0,0.9560000000000001,0.01,0.01,0.9780000000000001,1.0,0.0,0.008963416630460946,26.5141529637835,25.96030058182841,0.0,0.0006874233132778501,0.04072382934175118,0.09345369593463315,0.053888774341229906
6.0,0.9339999999999999,0.01,0.01,0.9780000000000001,1.0,0.0,0.0070728760450409585,26.67472187157322,25.80380383538695,0.0,0.0015069411814302577,0.13710836632201484,0.07125071090866567,0.088
7.0,0.9560000000000001,0.01,0.01,0.9780000000000001,1.0,0.0,0.007794756465430727,26.828357120867945,25.70265180457816,0.0,0.0014093635967466882,0.08823335135729608,0.06886693159055998,0.053888774341229906
8.0,0.9780000000000001,0.01,0.01,0.9780000000000001,0.9780000000000001,0.0,0.006680067954904048,27.056291900606986,25.68993592951882,0.0,0.001397434520708601,0.1183016736331321,0.07079726625004253,0.044
9.0,0.9780000000000001,0.01,0.01,0.9780000000000001,1.0,0.0,0.0070253411513352074,27.196649574004567,25.641355096818415,0.0,0.0011309435582022502,0.1252366429292795,0.061544228453720165,0.044
10.0,0.9780000000000001,0.01,0.01,0.9560000000000001,1.0,0.0,0.0063292683678283545,27.37853945865256,25.61420801076893,0.0,0.0006224750926389843,0.13112814848041957,0.1015915840557426,0.044
